id,dataset_name,category,source,last_updated,record_count,file_size_mb,created_at
71,network_logs_0071,Network Logs,CSV Upload,2024-06-24,166721,551.63,2024-06-21 20:40:42
72,web_traffic_0072,Web Traffic,CSV Upload,2024-05-30,57663,214.41,2024-05-03 06:56:06
73,security_incidents_0073,Security Incidents,Data Warehouse,2023-10-06,158399,1232.19,2023-09-15 16:50:09
74,marketing_analytics_0074,Marketing Analytics,API Ingestion,2024-06-25,110509,69.05,2024-06-22 20:55:52
75,operations_0075,Operations,Data Warehouse,2023-07-10,397618,2128.04,2023-06-12 15:03:17
76,threat_intelligence_0076,Threat Intelligence,Manual Entry,2023-05-29,69924,601.3,2023-05-09 09:04:30
77,system_metrics_0077,System Metrics,Data Warehouse,2023-04-28,68571,641.61,2023-04-14 00:37:29
78,hr_0078,HR,API Ingestion,2023-09-29,183832,1178.27,2023-08-03 13:13:46
79,operations_0079,Operations,Data Warehouse,2023-02-20,208576,295.03,2023-02-04 04:39:41
80,threat_intelligence_0080,Threat Intelligence,API Ingestion,2024-05-24,412227,3047.28,2024-05-11 11:43:36
81,finance_0081,Finance,Manual Entry,2024-12-13,352413,1126.7,2024-12-09 14:36:25
82,operations_0082,Operations,SIEM Export,2023-07-29,151476,784.04,2023-07-04 20:24:57
83,it_tickets_0083,IT Tickets,API Ingestion,2023-03-14,428882,3689.85,2023-01-15 02:50:49
84,security_incidents_0084,Security Incidents,Data Warehouse,2023-04-05,260143,1942.65,2023-03-08 22:38:10
85,operations_0085,Operations,Internal ETL,2023-07-05,158326,1171.66,2023-06-22 00:20:28
86,marketing_analytics_0086,Marketing Analytics,Data Warehouse,2023-06-06,262547,215.19,2023-05-25 14:14:41
87,customer_support_0087,Customer Support,API Ingestion,2024-03-15,85333,68.47,2024-01-19 12:56:47
88,it_tickets_0088,IT Tickets,API Ingestion,2023-11-14,103779,79.99,2023-11-05 01:22:19
89,network_logs_0089,Network Logs,CSV Upload,2024-04-14,387423,3202.71,2024-03-28 10:51:24
90,operations_0090,Operations,CSV Upload,2024-10-15,27713,129.46,2024-09-23 00:22:11
91,system_metrics_0091,System Metrics,Manual Entry,2024-02-22,164909,449.49,2023-12-27 08:39:59
92,hr_0092,HR,Third-party Vendor,2024-09-11,314055,1780.93,2024-09-09 04:19:25
93,web_traffic_0093,Web Traffic,Internal ETL,2024-02-09,437555,4342.47,2024-02-08 20:29:47
94,finance_0094,Finance,Data Warehouse,2024-11-09,467134,2611.75,2024-10-17 11:28:31
95,marketing_analytics_0095,Marketing Analytics,API Ingestion,2024-04-25,322731,565.65,2024-04-15 20:32:57
96,operations_0096,Operations,Manual Entry,2024-03-06,466310,3165.36,2024-02-13 23:39:34
97,it_tickets_0097,IT Tickets,Data Warehouse,2024-04-25,225107,347.53,2024-03-14 02:08:12
98,customer_support_0098,Customer Support,API Ingestion,2024-11-13,361519,1992.06,2024-11-12 14:06:20
99,web_traffic_0099,Web Traffic,Third-party Vendor,2024-07-27,126056,1231.99,2024-06-16 22:07:10
100,customer_support_0100,Customer Support,Data Warehouse,2023-01-08,7553,24.45,2023-01-01 00:16:40
101,threat_intelligence_0101,Threat Intelligence,CSV Upload,2024-08-03,24305,134.96,2024-06-21 22:41:35
102,hr_0102,HR,CSV Upload,2024-01-28,401106,502.18,2024-01-13 10:10:12
103,marketing_analytics_0103,Marketing Analytics,Manual Entry,2024-01-21,358560,425.49,2024-01-20 11:19:33
104,security_incidents_0104,Security Incidents,Third-party Vendor,2023-08-18,361026,3297.72,2023-07-02 13:09:05
105,hr_0105,HR,API Ingestion,2024-01-21,124209,103.91,2023-11-23 01:49:00
106,marketing_analytics_0106,Marketing Analytics,API Ingestion,2023-03-13,109220,811.21,2023-01-30 11:23:52
107,it_tickets_0107,IT Tickets,CSV Upload,2023-02-12,37921,84.25,2023-01-01 12:55:37
108,it_tickets_0108,IT Tickets,Internal ETL,2024-05-31,475929,4058.8,2024-04-22 14:54:20
109,customer_support_0109,Customer Support,CSV Upload,2023-03-29,49744,188.38,2023-01-31 04:56:57
110,hr_0110,HR,API Ingestion,2024-03-07,132156,250.95,2024-01-20 00:34:36
111,user_accounts_0111,User Accounts,Internal ETL,2024-04-03,258474,2402.35,2024-02-05 19:33:18
112,finance_0112,Finance,Data Warehouse,2023-05-20,337055,2762.94,2023-05-08 20:31:55
113,operations_0113,Operations,API Ingestion,2023-09-10,335634,1403.22,2023-09-10 18:33:08
114,system_metrics_0114,System Metrics,API Ingestion,2024-10-06,240466,2213.81,2024-08-12 23:45:35
115,user_accounts_0115,User Accounts,Manual Entry,2023-09-07,380564,985.74,2023-09-06 02:43:07
116,marketing_analytics_0116,Marketing Analytics,Data Warehouse,2023-04-12,193925,290.65,2023-03-06 09:01:46
117,system_metrics_0117,System Metrics,Third-party Vendor,2024-03-20,58415,240.16,2024-02-06 01:24:56
118,system_metrics_0118,System Metrics,Third-party Vendor,2023-08-06,32690,303.24,2023-08-01 10:36:56
119,system_metrics_0119,System Metrics,API Ingestion,2024-05-18,159499,1008.8,2024-03-24 00:58:21
120,customer_support_0120,Customer Support,SIEM Export,2023-09-29,277151,2155.03,2023-09-13 01:30:59
121,threat_intelligence_0121,Threat Intelligence,Internal ETL,2023-08-23,42546,124.38,2023-07-05 15:00:22
122,threat_intelligence_0122,Threat Intelligence,Third-party Vendor,2024-08-19,151162,441.71,2024-07-01 13:10:29
123,marketing_analytics_0123,Marketing Analytics,API Ingestion,2024-09-25,179743,341.98,2024-08-07 17:03:01
124,threat_intelligence_0124,Threat Intelligence,Internal ETL,2024-05-29,89247,189.43,2024-04-02 15:27:05
125,finance_0125,Finance,SIEM Export,2024-06-08,214953,755.54,2024-06-08 23:48:30
126,operations_0126,Operations,CSV Upload,2023-07-12,337676,1162.8,2023-05-29 13:18:04
127,hr_0127,HR,Manual Entry,2024-08-15,365995,1733.52,2024-06-29 20:49:39
128,security_incidents_0128,Security Incidents,Internal ETL,2024-04-05,235552,2124.55,2024-03-10 07:47:50
129,user_accounts_0129,User Accounts,API Ingestion,2024-06-19,324028,654.44,2024-05-22 09:03:15
130,customer_support_0130,Customer Support,Third-party Vendor,2024-01-14,157612,773.62,2023-11-26 05:02:06
131,marketing_analytics_0131,Marketing Analytics,API Ingestion,2023-01-12,156667,573.07,2023-01-01 10:58:16
132,user_accounts_0132,User Accounts,API Ingestion,2023-07-15,57977,468.15,2023-06-30 06:26:10
133,threat_intelligence_0133,Threat Intelligence,API Ingestion,2023-05-04,283510,537.61,2023-03-10 16:02:50
134,system_metrics_0134,System Metrics,API Ingestion,2023-03-16,384266,3224.47,2023-03-08 12:36:36
135,network_logs_0135,Network Logs,Internal ETL,2023-08-26,374061,2956.29,2023-07-06 06:38:11
136,web_traffic_0136,Web Traffic,CSV Upload,2023-10-09,111083,516.37,2023-09-09 14:18:11
137,it_tickets_0137,IT Tickets,Manual Entry,2023-04-29,178428,258.8,2023-04-07 05:45:16
138,network_logs_0138,Network Logs,API Ingestion,2024-07-01,423847,4127.52,2024-06-18 22:43:19
139,user_accounts_0139,User Accounts,SIEM Export,2024-03-05,98780,125.16,2024-01-08 05:09:32
140,threat_intelligence_0140,Threat Intelligence,SIEM Export,2024-12-12,156576,539.53,2024-11-11 06:57:33
141,customer_support_0141,Customer Support,Third-party Vendor,2024-02-07,40736,290.58,2023-12-10 15:16:01
142,customer_support_0142,Customer Support,Data Warehouse,2023-01-07,298467,1903.9,2023-01-01 17:52:47
143,web_traffic_0143,Web Traffic,API Ingestion,2024-04-23,89010,308.09,2024-03-23 16:45:25
144,customer_support_0144,Customer Support,CSV Upload,2024-10-27,479046,4307.18,2024-09-20 23:21:10
145,network_logs_0145,Network Logs,API Ingestion,2023-05-07,97667,488.92,2023-04-21 06:37:51
146,user_accounts_0146,User Accounts,Third-party Vendor,2024-05-16,298516,821.04,2024-03-17 19:38:51
147,it_tickets_0147,IT Tickets,Manual Entry,2023-08-15,294196,2528.19,2023-07-01 09:16:24
148,it_tickets_0148,IT Tickets,SIEM Export,2023-03-07,4337,24.19,2023-03-03 21:01:44
149,web_traffic_0149,Web Traffic,Internal ETL,2024-10-21,198118,1013.59,2024-09-14 13:23:37
150,it_tickets_0150,IT Tickets,Third-party Vendor,2024-08-30,203424,1936.74,2024-08-27 02:53:35
151,operations_0151,Operations,CSV Upload,2023-05-22,68002,171.5,2023-05-11 02:52:50
152,user_accounts_0152,User Accounts,API Ingestion,2024-12-09,251457,380.9,2024-11-07 15:45:00
153,marketing_analytics_0153,Marketing Analytics,SIEM Export,2023-05-17,88720,483.66,2023-04-09 09:18:20
154,finance_0154,Finance,Third-party Vendor,2023-12-06,45344,243.57,2023-11-01 18:45:04
155,security_incidents_0155,Security Incidents,Manual Entry,2023-08-19,186230,285.59,2023-07-18 04:50:38
156,threat_intelligence_0156,Threat Intelligence,CSV Upload,2023-02-18,351100,1953.28,2023-01-01 21:45:43
157,security_incidents_0157,Security Incidents,Data Warehouse,2023-08-10,320024,1831.54,2023-06-30 15:24:50
158,operations_0158,Operations,Manual Entry,2024-07-31,270873,1009.17,2024-07-26 02:51:18
159,network_logs_0159,Network Logs,Third-party Vendor,2024-07-18,132759,332.65,2024-06-11 10:35:07
160,security_incidents_0160,Security Incidents,Data Warehouse,2023-03-31,68429,555.47,2023-03-14 11:03:39
161,marketing_analytics_0161,Marketing Analytics,Data Warehouse,2024-02-26,410514,2734.33,2024-01-06 08:36:29
162,security_incidents_0162,Security Incidents,CSV Upload,2023-06-11,28449,155.73,2023-06-09 23:56:27
163,hr_0163,HR,Internal ETL,2023-09-04,260939,194.39,2023-07-18 07:51:39
164,operations_0164,Operations,API Ingestion,2023-12-11,459165,3969.64,2023-10-27 10:13:36
165,network_logs_0165,Network Logs,Internal ETL,2024-03-30,45312,345.53,2024-02-14 12:04:25
166,web_traffic_0166,Web Traffic,SIEM Export,2024-06-11,470020,685.16,2024-04-25 20:47:20
167,finance_0167,Finance,Data Warehouse,2024-09-11,463146,1732.65,2024-07-26 22:51:07
168,user_accounts_0168,User Accounts,Manual Entry,2023-04-24,36726,237.22,2023-03-23 08:41:04
169,operations_0169,Operations,API Ingestion,2024-09-15,149620,1041.68,2024-07-29 11:30:25
170,marketing_analytics_0170,Marketing Analytics,Internal ETL,2024-05-20,184141,1004.62,2024-04-27 01:16:47
171,security_incidents_0171,Security Incidents,SIEM Export,2024-09-17,190666,782.24,2024-08-01 02:20:07
172,finance_0172,Finance,Third-party Vendor,2023-04-23,220968,1519.74,2023-03-16 07:09:14
173,marketing_analytics_0173,Marketing Analytics,Internal ETL,2023-11-04,96036,660.33,2023-10-04 06:11:38
174,system_metrics_0174,System Metrics,Data Warehouse,2023-03-17,9027,41.16,2023-03-11 15:55:33
175,hr_0175,HR,Data Warehouse,2024-05-07,151081,411.98,2024-03-08 03:48:38
176,operations_0176,Operations,Internal ETL,2023-06-21,402855,3810.18,2023-06-12 02:40:46
177,customer_support_0177,Customer Support,Data Warehouse,2024-02-19,429430,1300.87,2024-02-10 17:57:27
178,network_logs_0178,Network Logs,Third-party Vendor,2024-06-13,484789,3698.1,2024-05-09 02:48:44
179,operations_0179,Operations,SIEM Export,2024-03-27,314609,2981.08,2024-03-17 21:28:27
180,hr_0180,HR,SIEM Export,2024-11-09,145312,555.02,2024-10-31 15:31:45
181,system_metrics_0181,System Metrics,SIEM Export,2023-12-07,490141,4689.61,2023-10-13 07:34:02
182,user_accounts_0182,User Accounts,API Ingestion,2024-01-30,106404,828.1,2023-12-18 09:14:12
183,network_logs_0183,Network Logs,CSV Upload,2024-12-12,381696,3053.05,2024-11-01 13:34:49
184,security_incidents_0184,Security Incidents,API Ingestion,2024-11-07,226919,211.51,2024-11-01 18:29:57
185,system_metrics_0185,System Metrics,Data Warehouse,2024-12-03,222328,1836.46,2024-12-02 14:06:19
186,marketing_analytics_0186,Marketing Analytics,Internal ETL,2024-03-03,261263,853.6,2024-01-05 09:44:20
187,threat_intelligence_0187,Threat Intelligence,Data Warehouse,2023-06-25,249174,2151.63,2023-06-16 03:35:46
188,hr_0188,HR,Data Warehouse,2023-10-06,302354,838.15,2023-08-15 22:20:38
189,operations_0189,Operations,Internal ETL,2024-02-13,376519,1643.27,2023-12-19 01:26:58
190,network_logs_0190,Network Logs,Data Warehouse,2024-12-11,142058,862.04,2024-11-27 15:35:19
191,hr_0191,HR,Third-party Vendor,2024-02-29,36930,269.41,2024-02-11 15:52:33
192,it_tickets_0192,IT Tickets,Data Warehouse,2024-03-23,392054,2864.35,2024-03-11 04:58:36
193,system_metrics_0193,System Metrics,Third-party Vendor,2023-03-02,130783,1044.96,2023-02-11 05:47:42
194,network_logs_0194,Network Logs,Internal ETL,2024-04-25,309646,1867.47,2024-03-07 01:43:02
195,threat_intelligence_0195,Threat Intelligence,Manual Entry,2023-03-26,172584,1652.15,2023-03-02 07:59:19
196,threat_intelligence_0196,Threat Intelligence,API Ingestion,2023-09-23,218657,1122.81,2023-08-19 22:46:43
197,it_tickets_0197,IT Tickets,Third-party Vendor,2023-04-18,185038,1512.0,2023-04-15 08:56:59
198,network_logs_0198,Network Logs,Data Warehouse,2024-10-30,109488,368.27,2024-10-05 06:18:55
199,operations_0199,Operations,Data Warehouse,2023-05-14,152116,213.42,2023-04-26 11:39:00
200,network_logs_0200,Network Logs,SIEM Export,2024-06-24,206433,1633.37,2024-06-06 19:52:22
201,operations_0201,Operations,Third-party Vendor,2023-07-01,302455,2465.82,2023-06-16 22:23:01
202,threat_intelligence_0202,Threat Intelligence,Internal ETL,2024-03-15,345546,2780.28,2024-01-30 23:08:01
203,system_metrics_0203,System Metrics,Third-party Vendor,2024-03-27,241976,893.91,2024-02-05 06:40:20
204,web_traffic_0204,Web Traffic,SIEM Export,2024-03-25,11155,101.6,2024-02-28 12:25:58
205,it_tickets_0205,IT Tickets,CSV Upload,2023-08-19,257537,775.19,2023-08-16 13:38:29
206,user_accounts_0206,User Accounts,Third-party Vendor,2024-11-21,306040,1562.29,2024-11-10 16:30:55
207,customer_support_0207,Customer Support,Third-party Vendor,2023-04-01,17425,43.47,2023-03-15 00:43:48
208,security_incidents_0208,Security Incidents,Manual Entry,2023-03-31,140932,1269.62,2023-03-12 07:07:06
209,customer_support_0209,Customer Support,CSV Upload,2024-02-01,221935,2168.92,2024-01-18 23:48:35
210,web_traffic_0210,Web Traffic,API Ingestion,2023-04-06,74574,475.57,2023-02-10 17:28:54
211,threat_intelligence_0211,Threat Intelligence,Third-party Vendor,2023-09-19,474742,2241.48,2023-08-06 00:27:35
212,threat_intelligence_0212,Threat Intelligence,Data Warehouse,2024-07-29,371626,3466.3,2024-07-03 17:24:32
213,hr_0213,HR,Manual Entry,2023-01-12,426635,2084.65,2023-01-01 12:45:49
214,user_accounts_0214,User Accounts,Third-party Vendor,2024-07-31,499864,4121.51,2024-06-04 21:38:07
215,threat_intelligence_0215,Threat Intelligence,Data Warehouse,2024-11-14,220001,1691.0,2024-09-30 02:56:02
216,it_tickets_0216,IT Tickets,Data Warehouse,2024-10-12,124788,639.3,2024-09-21 17:13:48
217,system_metrics_0217,System Metrics,CSV Upload,2023-05-13,88507,560.48,2023-03-30 12:33:53
218,network_logs_0218,Network Logs,Manual Entry,2024-03-14,211492,609.84,2024-02-19 17:36:15
219,marketing_analytics_0219,Marketing Analytics,Internal ETL,2024-11-01,309287,1945.8,2024-10-02 14:35:57
220,marketing_analytics_0220,Marketing Analytics,Manual Entry,2024-02-28,172873,968.76,2024-01-24 07:54:20
221,threat_intelligence_0221,Threat Intelligence,Internal ETL,2023-10-23,88608,779.1,2023-10-18 03:26:53
222,web_traffic_0222,Web Traffic,API Ingestion,2023-11-19,372145,2012.02,2023-10-16 11:42:32
223,user_accounts_0223,User Accounts,Data Warehouse,2023-05-12,391403,3009.16,2023-04-14 13:25:44
224,finance_0224,Finance,SIEM Export,2024-10-19,116807,65.06,2024-09-04 20:24:57
225,security_incidents_0225,Security Incidents,Internal ETL,2024-04-25,38175,69.79,2024-02-25 22:42:32
226,customer_support_0226,Customer Support,Third-party Vendor,2023-05-20,121387,500.24,2023-03-30 09:17:07
227,web_traffic_0227,Web Traffic,SIEM Export,2023-10-22,108273,904.07,2023-08-30 06:44:48
228,user_accounts_0228,User Accounts,Manual Entry,2023-10-11,225302,1347.75,2023-08-26 19:56:43
229,web_traffic_0229,Web Traffic,Internal ETL,2024-09-05,172441,197.95,2024-08-12 13:45:02
230,user_accounts_0230,User Accounts,SIEM Export,2024-07-04,410744,2176.41,2024-05-17 07:06:15
231,it_tickets_0231,IT Tickets,Third-party Vendor,2024-01-03,274219,1808.04,2023-11-30 01:29:43
232,marketing_analytics_0232,Marketing Analytics,CSV Upload,2023-01-22,440093,2678.26,2023-01-01 04:44:01
233,security_incidents_0233,Security Incidents,Data Warehouse,2023-04-22,363770,1508.77,2023-03-27 11:08:59
234,customer_support_0234,Customer Support,Internal ETL,2023-05-12,9742,41.91,2023-04-08 01:18:11
235,security_incidents_0235,Security Incidents,SIEM Export,2024-05-09,406190,4006.74,2024-04-21 07:14:14
236,threat_intelligence_0236,Threat Intelligence,Data Warehouse,2024-08-04,360046,3372.52,2024-06-19 02:48:02
237,web_traffic_0237,Web Traffic,CSV Upload,2024-08-06,208785,294.28,2024-06-15 22:17:52
238,customer_support_0238,Customer Support,API Ingestion,2024-03-21,253501,1021.55,2024-02-24 18:33:01
239,customer_support_0239,Customer Support,Third-party Vendor,2023-02-02,265094,1714.97,2023-01-23 09:33:06
240,threat_intelligence_0240,Threat Intelligence,Data Warehouse,2023-12-10,481823,2125.94,2023-11-12 20:45:07
241,it_tickets_0241,IT Tickets,CSV Upload,2023-06-09,216507,1690.69,2023-04-12 17:31:28
242,it_tickets_0242,IT Tickets,Data Warehouse,2024-02-09,436213,1979.77,2024-01-15 14:59:07
243,customer_support_0243,Customer Support,API Ingestion,2023-11-04,231100,593.54,2023-09-18 04:01:57
244,user_accounts_0244,User Accounts,Data Warehouse,2024-01-27,259242,1558.28,2023-12-10 18:54:03
245,web_traffic_0245,Web Traffic,Data Warehouse,2024-10-24,225382,2121.02,2024-09-05 20:05:55
246,marketing_analytics_0246,Marketing Analytics,API Ingestion,2024-09-05,319007,2915.27,2024-07-17 11:09:33
247,it_tickets_0247,IT Tickets,Internal ETL,2023-11-19,364489,1121.57,2023-10-25 21:18:25
248,marketing_analytics_0248,Marketing Analytics,Data Warehouse,2024-07-24,289252,1684.03,2024-06-21 12:40:04
249,threat_intelligence_0249,Threat Intelligence,Third-party Vendor,2024-11-10,470236,3023.26,2024-10-17 21:38:45
250,threat_intelligence_0250,Threat Intelligence,Manual Entry,2023-10-21,391848,1119.49,2023-09-11 07:39:16
251,security_incidents_0251,Security Incidents,API Ingestion,2023-01-17,101883,700.33,2023-01-17 21:46:41
252,user_accounts_0252,User Accounts,Data Warehouse,2023-07-16,377082,2353.61,2023-07-12 19:42:13
253,marketing_analytics_0253,Marketing Analytics,CSV Upload,2024-05-17,264328,1396.96,2024-04-15 03:30:44
254,user_accounts_0254,User Accounts,Manual Entry,2024-04-28,282353,301.08,2024-02-28 00:30:30
255,finance_0255,Finance,Manual Entry,2024-07-29,254303,1595.37,2024-06-07 09:39:12
256,operations_0256,Operations,API Ingestion,2024-07-23,321567,256.23,2024-06-07 03:48:37
257,marketing_analytics_0257,Marketing Analytics,Third-party Vendor,2024-02-20,204327,1027.82,2024-01-22 02:42:44
258,network_logs_0258,Network Logs,Data Warehouse,2024-12-06,388617,471.04,2024-11-12 19:38:36
259,it_tickets_0259,IT Tickets,Data Warehouse,2023-10-03,155840,90.06,2023-09-24 22:34:49
260,security_incidents_0260,Security Incidents,Manual Entry,2024-09-20,31456,152.98,2024-08-10 06:47:33
261,hr_0261,HR,Manual Entry,2024-06-15,163363,360.79,2024-05-20 07:18:53
262,hr_0262,HR,CSV Upload,2024-11-16,604,3.48,2024-10-05 05:04:33
263,user_accounts_0263,User Accounts,SIEM Export,2024-08-30,309023,2892.28,2024-07-29 08:58:02
264,marketing_analytics_0264,Marketing Analytics,CSV Upload,2024-06-28,393196,3727.52,2024-05-25 07:03:06
265,network_logs_0265,Network Logs,Data Warehouse,2023-04-23,388673,2594.83,2023-03-03 11:29:22
266,system_metrics_0266,System Metrics,API Ingestion,2023-06-02,287532,2389.76,2023-05-11 18:52:48
267,hr_0267,HR,Third-party Vendor,2023-11-07,228068,1234.83,2023-10-15 21:08:21
268,customer_support_0268,Customer Support,Internal ETL,2024-12-29,354968,2641.6,2024-11-29 12:54:42
269,finance_0269,Finance,SIEM Export,2024-09-29,476305,3410.53,2024-08-09 06:22:47
