id,date,incident_type,severity,status,description,reported_by,created_at
74,2024-01-21,Malware,Medium,Investigating,Malware incident with medium severity; status currently investigating.,bob,2024-01-21 03:49:52
75,2025-09-09,Vulnerability Exploit,Low,Closed,Vulnerability Exploit incident with low severity; status currently closed.,oscar,2025-09-09 05:55:58
76,2025-08-31,Password Spray,Medium,Monitoring,Password Spray incident with medium severity; status currently monitoring.,judy,2025-08-31 03:03:55
77,2024-12-22,Ransomware,Critical,Investigating,Ransomware incident with critical severity; status currently investigating.,grace,2024-12-22 00:36:51
78,2025-04-15,Password Spray,Medium,Open,Password Spray incident with medium severity; status currently open.,diana,2025-04-15 07:22:04
79,2024-09-18,Insider Threat,High,Mitigated,Insider Threat incident with high severity; status currently mitigated.,ivan,2024-09-18 21:46:44
80,2024-03-27,Ransomware,Low,Closed,Ransomware incident with low severity; status currently closed.,heidi,2024-03-27 16:11:11
81,2025-09-24,Data Breach,Low,Open,Data Breach incident with low severity; status currently open.,eve,2025-09-24 19:03:27
82,2025-12-09,Unauthorized Access,Medium,Closed,Unauthorized Access incident with medium severity; status currently closed.,bob,2025-12-09 19:08:27
83,2024-03-05,Data Breach,High,Investigating,Data Breach incident with high severity; status currently investigating.,alice,2024-03-05 10:04:38
84,2024-04-27,Brute Force,Medium,Mitigated,Brute Force incident with medium severity; status currently mitigated.,eve,2024-04-27 14:42:16
85,2025-05-14,Insider Threat,High,Open,Insider Threat incident with high severity; status currently open.,frank,2025-05-14 23:47:41
86,2025-01-22,Brute Force,Medium,Investigating,Brute Force incident with medium severity; status currently investigating.,diana,2025-01-22 14:30:39
87,2025-10-06,Vulnerability Exploit,Medium,Investigating,Vulnerability Exploit incident with medium severity; status currently investigating.,eve,2025-10-06 05:08:56
88,2024-08-26,Ransomware,High,Open,Ransomware incident with high severity; status currently open.,mallory,2024-08-26 08:03:02
89,2024-05-24,Data Breach,Critical,Investigating,Data Breach incident with critical severity; status currently investigating.,mallory,2024-05-24 10:32:39
90,2025-08-24,Ransomware,Medium,Investigating,Ransomware incident with medium severity; status currently investigating.,charlie,2025-08-24 04:53:23
91,2024-05-06,Phishing,Critical,Monitoring,Phishing incident with critical severity; status currently monitoring.,alice,2024-05-06 12:36:25
92,2025-09-19,Insider Threat,High,Mitigated,Insider Threat incident with high severity; status currently mitigated.,ivan,2025-09-19 19:42:56
93,2025-07-14,Malware,Low,Closed,Malware incident with low severity; status currently closed.,heidi,2025-07-14 03:29:24
94,2025-08-26,Malware,Medium,Closed,Malware incident with medium severity; status currently closed.,bob,2025-08-26 15:50:10
95,2025-02-23,Password Spray,Medium,Open,Password Spray incident with medium severity; status currently open.,oscar,2025-02-23 01:50:49
96,2024-04-17,Phishing,Medium,Mitigated,Phishing incident with medium severity; status currently mitigated.,alice,2024-04-17 12:10:01
97,2024-08-06,Brute Force,Medium,Mitigated,Brute Force incident with medium severity; status currently mitigated.,judy,2024-08-06 05:17:37
98,2025-04-19,Password Spray,Medium,Closed,Password Spray incident with medium severity; status currently closed.,bob,2025-04-19 01:15:02
99,2025-10-21,Ransomware,Medium,Investigating,Ransomware incident with medium severity; status currently investigating.,ivan,2025-10-21 14:22:11
100,2025-10-15,Malware,Low,Investigating,Malware incident with low severity; status currently investigating.,charlie,2025-10-15 23:22:52
101,2025-05-03,Password Spray,Low,Investigating,Password Spray incident with low severity; status currently investigating.,ivan,2025-05-03 09:36:16
102,2025-10-21,Password Spray,Medium,Closed,Password Spray incident with medium severity; status currently closed.,mallory,2025-10-21 00:11:47
103,2024-03-30,Malware,Medium,Mitigated,Malware incident with medium severity; status currently mitigated.,frank,2024-03-30 22:04:15
104,2025-03-29,Unauthorized Access,Medium,Investigating,Unauthorized Access incident with medium severity; status currently investigating.,frank,2025-03-29 04:56:14
105,2025-11-07,Vulnerability Exploit,Medium,Investigating,Vulnerability Exploit incident with medium severity; status currently investigating.,grace,2025-11-07 12:42:25
106,2024-09-09,Malware,Medium,Mitigated,Malware incident with medium severity; status currently mitigated.,frank,2024-09-09 06:54:56
107,2024-07-07,Malware,Medium,Closed,Malware incident with medium severity; status currently closed.,alice,2024-07-07 09:33:42
108,2025-04-18,Insider Threat,High,Open,Insider Threat incident with high severity; status currently open.,grace,2025-04-18 02:37:49
109,2025-06-30,Phishing,Medium,Open,Phishing incident with medium severity; status currently open.,bob,2025-06-30 22:52:32
110,2025-01-27,Ransomware,Medium,Closed,Ransomware incident with medium severity; status currently closed.,mallory,2025-01-27 15:08:37
111,2025-10-24,Phishing,High,Investigating,Phishing incident with high severity; status currently investigating.,grace,2025-10-24 02:04:52
112,2024-07-27,Brute Force,Low,Closed,Brute Force incident with low severity; status currently closed.,bob,2024-07-27 05:49:05
113,2024-10-24,Malware,High,Closed,Malware incident with high severity; status currently closed.,eve,2024-10-24 16:37:51
114,2025-10-09,DDoS,Medium,Closed,DDoS incident with medium severity; status currently closed.,mallory,2025-10-09 02:20:29
115,2025-12-17,Vulnerability Exploit,Medium,Investigating,Vulnerability Exploit incident with medium severity; status currently investigating.,oscar,2025-12-17 03:24:18
116,2025-03-13,Vulnerability Exploit,Medium,Investigating,Vulnerability Exploit incident with medium severity; status currently investigating.,grace,2025-03-13 21:46:28
117,2025-07-01,Data Breach,Medium,Closed,Data Breach incident with medium severity; status currently closed.,diana,2025-07-01 14:53:02
118,2024-10-28,Vulnerability Exploit,Low,Mitigated,Vulnerability Exploit incident with low severity; status currently mitigated.,charlie,2024-10-28 10:51:12
119,2025-01-03,Brute Force,Medium,Closed,Brute Force incident with medium severity; status currently closed.,frank,2025-01-03 15:22:13
120,2024-12-19,Brute Force,High,Mitigated,Brute Force incident with high severity; status currently mitigated.,judy,2024-12-19 15:25:47
121,2024-03-31,Phishing,Medium,Mitigated,Phishing incident with medium severity; status currently mitigated.,grace,2024-03-31 11:31:20
122,2025-01-18,Brute Force,Medium,Open,Brute Force incident with medium severity; status currently open.,ivan,2025-01-18 05:39:50
123,2025-08-08,Malware,Medium,Closed,Malware incident with medium severity; status currently closed.,frank,2025-08-08 10:29:11
124,2024-06-19,Password Spray,Low,Open,Password Spray incident with low severity; status currently open.,grace,2024-06-19 14:40:51
125,2024-11-30,Malware,High,Mitigated,Malware incident with high severity; status currently mitigated.,alice,2024-11-30 16:39:15
126,2024-09-05,Insider Threat,High,Investigating,Insider Threat incident with high severity; status currently investigating.,frank,2024-09-05 14:09:17
127,2025-01-14,Data Breach,High,Closed,Data Breach incident with high severity; status currently closed.,oscar,2025-01-14 23:58:25
128,2025-12-02,Ransomware,Low,Closed,Ransomware incident with low severity; status currently closed.,alice,2025-12-02 02:47:53
129,2024-01-09,Unauthorized Access,Medium,Closed,Unauthorized Access incident with medium severity; status currently closed.,diana,2024-01-09 10:08:01
130,2024-01-21,Data Breach,High,Closed,Data Breach incident with high severity; status currently closed.,charlie,2024-01-21 01:13:45
131,2024-06-07,Phishing,High,Investigating,Phishing incident with high severity; status currently investigating.,diana,2024-06-07 22:42:49
132,2025-08-09,Malware,Critical,Closed,Malware incident with critical severity; status currently closed.,frank,2025-08-09 16:14:57
133,2025-04-04,Brute Force,Low,Monitoring,Brute Force incident with low severity; status currently monitoring.,eve,2025-04-04 15:24:07
134,2024-04-18,DDoS,Low,Mitigated,DDoS incident with low severity; status currently mitigated.,frank,2024-04-18 03:58:35
135,2025-01-07,Malware,Low,Mitigated,Malware incident with low severity; status currently mitigated.,oscar,2025-01-07 13:10:54
136,2024-02-22,Malware,Low,Investigating,Malware incident with low severity; status currently investigating.,mallory,2024-02-22 08:07:16
137,2025-04-06,DDoS,Medium,Investigating,DDoS incident with medium severity; status currently investigating.,judy,2025-04-06 07:56:01
138,2025-10-17,Password Spray,High,Mitigated,Password Spray incident with high severity; status currently mitigated.,heidi,2025-10-17 10:32:47
139,2024-06-13,Phishing,Medium,Mitigated,Phishing incident with medium severity; status currently mitigated.,judy,2024-06-13 17:45:51
140,2024-02-15,Phishing,Low,Closed,Phishing incident with low severity; status currently closed.,grace,2024-02-15 10:31:47
141,2025-07-29,Unauthorized Access,Critical,Open,Unauthorized Access incident with critical severity; status currently open.,charlie,2025-07-29 01:11:13
142,2025-02-25,Brute Force,High,Monitoring,Brute Force incident with high severity; status currently monitoring.,alice,2025-02-25 17:12:26
143,2025-08-28,Vulnerability Exploit,Low,Investigating,Vulnerability Exploit incident with low severity; status currently investigating.,grace,2025-08-28 12:58:06
144,2024-01-30,Password Spray,Medium,Investigating,Password Spray incident with medium severity; status currently investigating.,frank,2024-01-30 01:01:39
145,2024-03-01,Brute Force,High,Investigating,Brute Force incident with high severity; status currently investigating.,judy,2024-03-01 20:19:01
146,2025-05-20,Phishing,High,Closed,Phishing incident with high severity; status currently closed.,bob,2025-05-20 20:51:50
147,2024-05-30,Vulnerability Exploit,Medium,Open,Vulnerability Exploit incident with medium severity; status currently open.,alice,2024-05-30 15:31:57
148,2025-07-27,Malware,Low,Mitigated,Malware incident with low severity; status currently mitigated.,heidi,2025-07-27 17:51:31
149,2024-02-24,Brute Force,Low,Investigating,Brute Force incident with low severity; status currently investigating.,charlie,2024-02-24 21:08:37
150,2024-06-18,Brute Force,High,Monitoring,Brute Force incident with high severity; status currently monitoring.,mallory,2024-06-18 14:47:35
151,2024-10-29,Ransomware,High,Open,Ransomware incident with high severity; status currently open.,frank,2024-10-29 15:11:59
152,2025-08-26,Malware,Low,Investigating,Malware incident with low severity; status currently investigating.,heidi,2025-08-26 18:45:22
153,2024-09-10,Vulnerability Exploit,Medium,Investigating,Vulnerability Exploit incident with medium severity; status currently investigating.,charlie,2024-09-10 22:24:20
154,2024-11-12,DDoS,Medium,Closed,DDoS incident with medium severity; status currently closed.,mallory,2024-11-12 21:39:50
155,2025-06-06,Data Breach,Medium,Investigating,Data Breach incident with medium severity; status currently investigating.,diana,2025-06-06 05:09:13
156,2024-10-12,Brute Force,Medium,Investigating,Brute Force incident with medium severity; status currently investigating.,judy,2024-10-12 02:07:28
157,2025-07-08,Phishing,High,Mitigated,Phishing incident with high severity; status currently mitigated.,heidi,2025-07-08 17:17:22
158,2024-07-29,DDoS,High,Investigating,DDoS incident with high severity; status currently investigating.,judy,2024-07-29 17:56:01
159,2024-08-04,Insider Threat,Low,Mitigated,Insider Threat incident with low severity; status currently mitigated.,grace,2024-08-04 18:44:22
160,2024-05-19,Data Breach,Medium,Closed,Data Breach incident with medium severity; status currently closed.,heidi,2024-05-19 09:08:00
161,2024-02-03,Ransomware,Medium,Closed,Ransomware incident with medium severity; status currently closed.,ivan,2024-02-03 02:20:48
162,2025-06-08,Unauthorized Access,High,Closed,Unauthorized Access incident with high severity; status currently closed.,frank,2025-06-08 20:23:22
163,2025-09-02,Vulnerability Exploit,High,Closed,Vulnerability Exploit incident with high severity; status currently closed.,eve,2025-09-02 22:48:43
164,2024-11-14,Data Breach,Medium,Investigating,Data Breach incident with medium severity; status currently investigating.,alice,2024-11-14 09:02:35
165,2025-02-11,Malware,Medium,Investigating,Malware incident with medium severity; status currently investigating.,diana,2025-02-11 18:26:56
166,2024-07-15,Data Breach,Critical,Closed,Data Breach incident with critical severity; status currently closed.,heidi,2024-07-15 01:44:30
167,2025-12-09,Brute Force,Medium,Closed,Brute Force incident with medium severity; status currently closed.,heidi,2025-12-09 13:48:40
168,2024-11-26,Data Breach,Medium,Closed,Data Breach incident with medium severity; status currently closed.,judy,2024-11-26 05:32:29
169,2024-04-19,Brute Force,High,Mitigated,Brute Force incident with high severity; status currently mitigated.,frank,2024-04-19 10:09:45
170,2025-05-04,Data Breach,High,Open,Data Breach incident with high severity; status currently open.,alice,2025-05-04 04:23:59
171,2024-03-12,Vulnerability Exploit,Medium,Open,Vulnerability Exploit incident with medium severity; status currently open.,bob,2024-03-12 12:43:53
172,2024-08-27,Brute Force,Medium,Closed,Brute Force incident with medium severity; status currently closed.,grace,2024-08-27 21:01:23
173,2024-01-24,Insider Threat,Medium,Closed,Insider Threat incident with medium severity; status currently closed.,charlie,2024-01-24 08:17:29
174,2025-06-19,Data Breach,Medium,Investigating,Data Breach incident with medium severity; status currently investigating.,ivan,2025-06-19 12:09:53
175,2025-07-09,Malware,Low,Mitigated,Malware incident with low severity; status currently mitigated.,grace,2025-07-09 18:15:11
176,2025-01-05,Password Spray,Critical,Closed,Password Spray incident with critical severity; status currently closed.,ivan,2025-01-05 07:06:50
177,2024-07-20,Malware,Medium,Closed,Malware incident with medium severity; status currently closed.,heidi,2024-07-20 07:50:37
178,2025-11-16,Unauthorized Access,High,Monitoring,Unauthorized Access incident with high severity; status currently monitoring.,judy,2025-11-16 04:58:15
179,2024-03-12,Vulnerability Exploit,Low,Mitigated,Vulnerability Exploit incident with low severity; status currently mitigated.,oscar,2024-03-12 02:28:44
180,2024-07-23,Vulnerability Exploit,Medium,Investigating,Vulnerability Exploit incident with medium severity; status currently investigating.,heidi,2024-07-23 11:26:51
181,2024-09-06,Phishing,Low,Investigating,Phishing incident with low severity; status currently investigating.,diana,2024-09-06 22:54:51
182,2024-05-05,Malware,Low,Closed,Malware incident with low severity; status currently closed.,charlie,2024-05-05 11:19:23
183,2025-09-24,Malware,High,Closed,Malware incident with high severity; status currently closed.,mallory,2025-09-24 19:05:35
184,2025-08-25,Data Breach,High,Open,Data Breach incident with high severity; status currently open.,bob,2025-08-25 19:02:09
185,2024-08-24,Brute Force,Low,Closed,Brute Force incident with low severity; status currently closed.,diana,2024-08-24 07:28:10
186,2025-11-30,Ransomware,High,Mitigated,Ransomware incident with high severity; status currently mitigated.,frank,2025-11-30 18:22:25
187,2025-02-17,Brute Force,High,Closed,Brute Force incident with high severity; status currently closed.,heidi,2025-02-17 19:36:16
188,2025-02-28,Malware,Low,Investigating,Malware incident with low severity; status currently investigating.,bob,2025-02-28 07:29:09
189,2025-06-30,Brute Force,High,Mitigated,Brute Force incident with high severity; status currently mitigated.,oscar,2025-06-30 07:15:20
190,2024-09-22,Password Spray,High,Closed,Password Spray incident with high severity; status currently closed.,charlie,2024-09-22 02:57:30
191,2024-02-16,Unauthorized Access,Medium,Mitigated,Unauthorized Access incident with medium severity; status currently mitigated.,judy,2024-02-16 16:20:22
192,2024-02-11,Unauthorized Access,Medium,Closed,Unauthorized Access incident with medium severity; status currently closed.,eve,2024-02-11 13:32:09
193,2024-10-27,Insider Threat,High,Closed,Insider Threat incident with high severity; status currently closed.,bob,2024-10-27 21:45:52
194,2024-12-19,Vulnerability Exploit,Medium,Investigating,Vulnerability Exploit incident with medium severity; status currently investigating.,eve,2024-12-19 13:43:57
195,2025-07-08,Password Spray,Medium,Open,Password Spray incident with medium severity; status currently open.,mallory,2025-07-08 08:21:52
196,2025-05-15,Ransomware,Medium,Mitigated,Ransomware incident with medium severity; status currently mitigated.,eve,2025-05-15 17:22:48
197,2024-11-30,DDoS,Critical,Closed,DDoS incident with critical severity; status currently closed.,bob,2024-11-30 01:36:28
198,2025-09-11,Insider Threat,Critical,Investigating,Insider Threat incident with critical severity; status currently investigating.,heidi,2025-09-11 07:50:40
199,2025-10-02,Password Spray,High,Closed,Password Spray incident with high severity; status currently closed.,ivan,2025-10-02 07:36:28
200,2024-04-17,Insider Threat,Medium,Investigating,Insider Threat incident with medium severity; status currently investigating.,oscar,2024-04-17 10:13:28
201,2024-10-01,Ransomware,Medium,Open,Ransomware incident with medium severity; status currently open.,ivan,2024-10-01 22:30:44
202,2024-07-14,DDoS,Medium,Closed,DDoS incident with medium severity; status currently closed.,alice,2024-07-14 01:33:07
203,2025-08-18,Brute Force,Medium,Closed,Brute Force incident with medium severity; status currently closed.,judy,2025-08-18 01:21:28
204,2025-02-22,Ransomware,Medium,Closed,Ransomware incident with medium severity; status currently closed.,grace,2025-02-22 12:33:35
205,2024-04-07,Vulnerability Exploit,Medium,Closed,Vulnerability Exploit incident with medium severity; status currently closed.,heidi,2024-04-07 20:16:56
206,2024-02-10,Vulnerability Exploit,High,Mitigated,Vulnerability Exploit incident with high severity; status currently mitigated.,frank,2024-02-10 00:19:39
207,2024-02-05,Password Spray,Medium,Open,Password Spray incident with medium severity; status currently open.,oscar,2024-02-05 08:32:19
208,2024-11-03,Insider Threat,High,Open,Insider Threat incident with high severity; status currently open.,ivan,2024-11-03 05:53:16
209,2025-02-06,DDoS,Low,Closed,DDoS incident with low severity; status currently closed.,charlie,2025-02-06 22:27:44
210,2024-09-07,Malware,Critical,Mitigated,Malware incident with critical severity; status currently mitigated.,judy,2024-09-07 03:56:13
211,2025-06-10,Brute Force,Medium,Mitigated,Brute Force incident with medium severity; status currently mitigated.,grace,2025-06-10 21:00:14
212,2025-09-25,Brute Force,Medium,Investigating,Brute Force incident with medium severity; status currently investigating.,ivan,2025-09-25 05:54:23
213,2025-09-07,DDoS,Low,Investigating,DDoS incident with low severity; status currently investigating.,oscar,2025-09-07 01:04:12
214,2024-07-28,Brute Force,High,Mitigated,Brute Force incident with high severity; status currently mitigated.,heidi,2024-07-28 20:11:54
215,2025-09-16,Ransomware,Medium,Open,Ransomware incident with medium severity; status currently open.,grace,2025-09-16 14:20:38
216,2024-08-06,Brute Force,Medium,Closed,Brute Force incident with medium severity; status currently closed.,heidi,2024-08-06 11:41:56
217,2024-07-24,Data Breach,High,Closed,Data Breach incident with high severity; status currently closed.,alice,2024-07-24 07:45:24
218,2025-06-03,Password Spray,Medium,Investigating,Password Spray incident with medium severity; status currently investigating.,judy,2025-06-03 06:40:17
219,2024-03-06,Unauthorized Access,High,Investigating,Unauthorized Access incident with high severity; status currently investigating.,frank,2024-03-06 11:08:05
220,2025-05-14,Unauthorized Access,Medium,Open,Unauthorized Access incident with medium severity; status currently open.,heidi,2025-05-14 00:35:34
221,2025-01-09,Vulnerability Exploit,Medium,Closed,Vulnerability Exploit incident with medium severity; status currently closed.,mallory,2025-01-09 20:08:55
222,2024-02-12,Vulnerability Exploit,Critical,Open,Vulnerability Exploit incident with critical severity; status currently open.,grace,2024-02-12 14:12:23
223,2024-12-07,Insider Threat,Medium,Open,Insider Threat incident with medium severity; status currently open.,frank,2024-12-07 16:56:02
224,2025-10-16,Phishing,Low,Mitigated,Phishing incident with low severity; status currently mitigated.,grace,2025-10-16 15:20:25
225,2024-10-29,Insider Threat,Medium,Closed,Insider Threat incident with medium severity; status currently closed.,alice,2024-10-29 11:31:10
226,2025-10-26,Vulnerability Exploit,Medium,Open,Vulnerability Exploit incident with medium severity; status currently open.,bob,2025-10-26 08:38:05
227,2025-12-09,Unauthorized Access,Critical,Closed,Unauthorized Access incident with critical severity; status currently closed.,bob,2025-12-09 22:51:57
228,2024-01-07,Phishing,Medium,Investigating,Phishing incident with medium severity; status currently investigating.,charlie,2024-01-07 06:51:26
229,2025-07-17,DDoS,Medium,Investigating,DDoS incident with medium severity; status currently investigating.,alice,2025-07-17 10:47:23
230,2025-11-07,Brute Force,High,Closed,Brute Force incident with high severity; status currently closed.,ivan,2025-11-07 08:26:18
231,2025-10-05,Password Spray,Low,Closed,Password Spray incident with low severity; status currently closed.,grace,2025-10-05 12:38:47
